Make,Model,Type,Origin,DriveTrain,MSRP ($),Invoice ($),EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Chevrolet,Impala 4dr,Sedan,USA,Front,21900.0,20095.0,3.4,6.0,180.0,24.0,32.0,3465.0,111.0,200.0
Chevrolet,Malibu 4dr,Sedan,USA,Front,18995.0,17434.0,2.2,4.0,145.0,27.0,34.0,3174.0,106.0,188.0
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,20370.0,18639.0,3.5,6.0,200.0,25.0,30.0,3297.0,106.0,188.0
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,21825.0,20026.0,3.4,6.0,180.0,24.0,32.0,3340.0,111.0,198.0
Chevrolet,Impala LS 4dr,Sedan,USA,Front,25000.0,22931.0,3.8,6.0,200.0,23.0,30.0,3476.0,111.0,200.0
Chevrolet,Impala SS 4dr,Sedan,USA,Front,27995.0,25672.0,3.8,6.0,240.0,21.0,28.0,3606.0,111.0,200.0
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,23495.0,21551.0,3.5,6.0,200.0,26.0,32.0,3315.0,106.0,188.0
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,24225.0,22222.0,3.8,6.0,200.0,21.0,28.0,3434.0,111.0,198.0
Chevrolet,Venture LS,Sedan,USA,Front,27020.0,24518.0,3.4,6.0,185.0,22.0,26.0,3699.0,112.0,187.0
Chevrolet,Corvette 2dr,Sports,USA,Rear,44535.0,39068.0,5.7,8.0,350.0,21.0,25.0,3246.0,105.0,180.0
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,51535.0,45193.0,5.7,8.0,350.0,21.0,25.0,3248.0,105.0,180.0
Chevrolet,Colorado Z85,Truck,USA,All,18760.0,17070.0,2.8,4.0,175.0,21.0,23.0,3623.0,111.0,192.0
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,22225.0,20394.0,3.5,6.0,200.0,25.0,30.0,3458.0,112.0,188.0
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,17985.0,16919.0,2.4,4.0,150.0,25.0,29.0,3101.0,103.0,169.0
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,22000.0,20573.0,2.4,4.0,150.0,25.0,29.0,3105.0,103.0,169.0
Chrysler,Sebring 4dr,Sedan,USA,Front,19090.0,17805.0,2.4,4.0,150.0,25.0,30.0,3173.0,108.0,191.0
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,21840.0,20284.0,2.7,6.0,200.0,24.0,28.0,3222.0,108.0,191.0
Chrysler,300M 4dr,Sedan,USA,Front,29865.0,27797.0,3.5,6.0,250.0,21.0,27.0,3581.0,113.0,198.0
Chrysler,Concorde LX 4dr,Sedan,USA,Front,24130.0,22452.0,2.7,6.0,200.0,24.0,29.0,3479.0,113.0,208.0
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,26860.0,24909.0,3.5,6.0,232.0,22.0,27.0,3548.0,113.0,208.0
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,25955.0,24172.0,2.4,4.0,220.0,24.0,27.0,3217.0,103.0,169.0
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,25215.0,23451.0,2.4,4.0,150.0,25.0,30.0,3357.0,106.0,194.0
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,33295.0,30884.0,3.5,6.0,255.0,21.0,27.0,3650.0,113.0,198.0
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,30950.0,28613.0,2.7,6.0,200.0,24.0,28.0,3448.0,106.0,194.0
Chrysler,Crossfire 2dr,Sports,USA,Rear,34495.0,32033.0,3.2,6.0,215.0,20.0,25.0,3060.0,95.0,160.0
Dodge,Neon SE 4dr,Sedan,USA,Front,13670.0,12849.0,2.0,4.0,132.0,32.0,36.0,2581.0,105.0,174.0
Dodge,Neon SXT 4dr,Sedan,USA,Front,15040.0,14086.0,2.0,4.0,132.0,32.0,36.0,2626.0,105.0,174.0
Dodge,Intrepid SE 4dr,Sedan,USA,Front,22035.0,20502.0,2.7,6.0,200.0,24.0,29.0,3469.0,113.0,204.0
Dodge,Stratus SXT 4dr,Sedan,USA,Front,18820.0,17512.0,2.4,4.0,150.0,24.0,28.0,3182.0,108.0,191.0
Dodge,Stratus SE 4dr,Sedan,USA,Front,20220.0,18821.0,2.4,4.0,150.0,24.0,28.0,3175.0,108.0,191.0
Dodge,Intrepid ES 4dr,Sedan,USA,Front,24885.0,23058.0,3.5,6.0,232.0,21.0,27.0,3487.0,113.0,204.0
Dodge,Caravan SE,Sedan,USA,Front,21795.0,20508.0,2.4,4.0,150.0,23.0,26.0,3862.0,113.0,189.0
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,81795.0,74451.0,8.3,10.0,500.0,15.0,20.0,3410.0,99.0,176.0
Dodge,Dakota Regular Cab,Truck,USA,Rear,17630.0,16264.0,3.7,6.0,210.0,19.0,22.0,3714.0,112.0,193.0
Dodge,Dakota Club Cab,Truck,USA,Rear,20300.0,18670.0,3.7,6.0,210.0,19.0,22.0,3829.0,131.0,219.0
Ford,Escape XLS,SUV,USA,All,22515.0,20907.0,3.0,6.0,201.0,21.0,23.0,3346.0,103.0,173.0
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,13270.0,12482.0,2.0,4.0,130.0,29.0,33.0,2612.0,103.0,168.0
Ford,Focus LX 4dr,Sedan,USA,Front,13730.0,12906.0,2.0,4.0,110.0,30.0,36.0,2606.0,103.0,168.0
Ford,Focus SE 4dr,Sedan,USA,Front,15460.0,14496.0,2.0,4.0,130.0,29.0,33.0,2606.0,103.0,168.0
Ford,Focus ZX5 5dr,Sedan,USA,Front,15580.0,14607.0,2.0,4.0,130.0,29.0,33.0,2691.0,103.0,168.0
Ford,Focus SVT 2dr,Sedan,USA,Front,19135.0,17878.0,2.0,4.0,170.0,24.0,28.0,2750.0,103.0,168.0
Ford,Taurus LX 4dr,Sedan,USA,Front,20320.0,18881.0,3.0,6.0,155.0,23.0,27.0,3306.0,109.0,198.0
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,22735.0,20857.0,3.0,6.0,201.0,22.0,26.0,3313.0,109.0,198.0
Ford,Mustang 2dr (convertible),Sports,USA,Rear,18345.0,16943.0,3.8,6.0,193.0,23.0,29.0,3290.0,101.0,183.0
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,29380.0,26875.0,4.6,8.0,260.0,20.0,25.0,3347.0,101.0,183.0
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,37530.0,34483.0,3.9,8.0,280.0,20.0,24.0,3780.0,107.0,186.0
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,14385.0,13717.0,2.3,4.0,143.0,27.0,29.0,3028.0,111.0,188.0
Ford,Focus ZTW,Wagon,USA,Front,17475.0,16375.0,2.0,4.0,130.0,29.0,33.0,2702.0,103.0,178.0
Ford,Taurus SE,Wagon,USA,Front,22290.0,20457.0,3.0,6.0,155.0,22.0,26.0,3497.0,109.0,198.0
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,16530.0,14877.0,2.8,4.0,175.0,21.0,25.0,3351.0,111.0,192.0
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,20140.0,18451.0,1.4,4.0,93.0,49.0,51.0,2732.0,103.0,175.0
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,19110.0,17911.0,2.0,3.0,73.0,63.0,66.0,1850.0,95.0,155.0
Honda,CR-V LX,SUV,Asia,All,19860.0,18419.0,2.4,4.0,160.0,24.0,25.0,3258.0,103.0,179.0
Honda,Element LX,SUV,Asia,All,18690.0,17334.0,2.4,4.0,160.0,24.0,24.0,3468.0,101.0,167.0
Honda,Civic DX 2dr,Sedan,Asia,Front,13270.0,12175.0,1.7,4.0,115.0,35.0,38.0,2432.0,103.0,175.0
Honda,Civic HX 2dr,Sedan,Asia,Front,14170.0,12996.0,1.7,4.0,117.0,39.0,44.0,2500.0,103.0,175.0
Honda,Civic LX 4dr,Sedan,Asia,Front,15850.0,14531.0,1.7,4.0,115.0,35.0,38.0,2513.0,103.0,175.0
Honda,Accord LX 2dr,Sedan,Asia,Front,19860.0,17924.0,2.4,4.0,160.0,29.0,34.0,2994.0,105.0,188.0
Honda,Accord EX 2dr,Sedan,Asia,Front,22260.0,20080.0,2.4,4.0,160.0,29.0,34.0,3047.0,105.0,188.0
,,,,,32774.85514018692,30014.70093457944,3.196728971962617,5.807511737089202,215.8855140186916,23.060747663551403,26.843457943925234,3577.9532710280373,108.15420560747664,186.36214953271028
Honda,Civic EX 4dr,Sedan,Asia,Front,17750.0,16265.0,1.7,4.0,127.0,35.0,37.0,2601.0,103.0,175.0
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,19490.0,17849.0,2.0,4.0,160.0,29.0,30.0,2782.0,101.0,166.0
Honda,Accord LX V6 4dr,Sedan,Asia,Front,23760.0,21428.0,3.0,6.0,240.0,24.0,30.0,3349.0,108.0,190.0
Honda,Accord EX V6 2dr,Sedan,Asia,Front,26960.0,24304.0,3.0,6.0,240.0,24.0,30.0,3294.0,105.0,188.0
Honda,S2000 convertible 2dr,Sports,Asia,Rear,33260.0,29965.0,2.2,4.0,240.0,23.0,25.0,2835.0,95.0,162.0
Hyundai,Santa Fe GLS,SUV,Asia,Front,21589.0,20201.0,2.7,6.0,173.0,23.0,26.0,3549.0,103.0,177.0
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,10539.0,10107.0,1.6,4.0,103.0,32.0,33.0,2255.0,96.0,167.0
Hyundai,Accent GL 4dr,Sedan,Asia,Front,11839.0,11116.0,1.6,4.0,103.0,32.0,33.0,2290.0,96.0,167.0
,,,,,32774.85514018692,30014.70093457944,3.196728971962617,5.807511737089202,215.8855140186916,23.060747663551403,26.843457943925234,3577.9532710280373,108.15420560747664,186.36214953271028
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,11939.0,11209.0,1.6,4.0,103.0,32.0,33.0,2339.0,96.0,167.0
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,13839.0,12781.0,2.0,4.0,138.0,29.0,34.0,2635.0,103.0,178.0
Hyundai,Elantra GT 4dr,Sedan,Asia,Front,15389.0,14207.0,2.0,4.0,138.0,29.0,34.0,2635.0,103.0,178.0
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,15389.0,14207.0,2.0,4.0,138.0,29.0,34.0,2698.0,103.0,178.0
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,19339.0,17574.0,2.7,6.0,170.0,22.0,27.0,3217.0,106.0,187.0
Hyundai,Sonata LX 4dr,Sedan,Asia,Front,20339.0,18380.0,2.7,6.0,170.0,22.0,27.0,3217.0,106.0,187.0
Hyundai,XG350 4dr,Sedan,Asia,Front,24589.0,22055.0,3.5,6.0,194.0,20.0,26.0,3651.0,108.0,192.0
Hyundai,XG350 L 4dr,Sedan,Asia,Front,26189.0,23486.0,3.5,6.0,194.0,20.0,26.0,3651.0,108.0,192.0
Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front,18739.0,17101.0,2.7,6.0,172.0,22.0,26.0,3023.0,100.0,173.0
Infiniti,G35 4dr,Sedan,Asia,Rear,28495.0,26157.0,3.5,6.0,260.0,21.0,26.0,3336.0,112.0,187.0
Infiniti,G35 Sport Coupe 2dr,Sedan,Asia,Rear,29795.0,27536.0,3.5,6.0,280.0,21.0,26.0,3416.0,112.0,182.0
Infiniti,G35 4dr,Sedan,Asia,All,32445.0,29783.0,3.5,6.0,260.0,21.0,26.0,3677.0,112.0,187.0
Infiniti,I35 4dr,Sedan,Asia,Front,31145.0,28320.0,3.5,6.0,255.0,22.0,26.0,3306.0,108.0,194.0
Infiniti,M45 4dr,Sedan,Asia,Rear,42845.0,38792.0,4.5,8.0,340.0,20.0,23.0,3851.0,110.0,197.0
Infiniti,Q45 Luxury 4dr,Sedan,Asia,Rear,52545.0,47575.0,4.5,8.0,340.0,20.0,23.0,3977.0,113.0,200.0
Isuzu,Rodeo S,SUV,Asia,Front,20449.0,19261.0,3.2,6.0,193.0,20.0,21.0,3836.0,106.0,178.0
Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,29995.0,27355.0,2.5,6.0,192.0,21.0,26.0,3428.0,107.0,184.0
Jaguar,X-Type 3.0 4dr,Sedan,Europe,All,33995.0,30995.0,3.0,6.0,227.0,21.0,25.0,3516.0,107.0,184.0
Jaguar,S-Type 3.0 4dr,Sedan,Europe,Rear,43895.0,40004.0,3.0,6.0,235.0,21.0,26.0,3777.0,115.0,192.0
Jaguar,S-Type 4.2 4dr,Sedan,Europe,Rear,49995.0,45556.0,4.2,8.0,294.0,21.0,28.0,3874.0,115.0,192.0
Jaguar,Vanden Plas 4dr,Sedan,Europe,Rear,68995.0,62846.0,4.2,8.0,294.0,21.0,28.0,3803.0,119.0,200.0
Jaguar,XJ8 4dr,Sedan,Europe,Rear,59995.0,54656.0,4.2,8.0,294.0,21.0,28.0,3803.0,119.0,200.0
Jaguar,XJR 4dr,Sedan,Europe,Rear,74995.0,68306.0,4.2,8.0,390.0,20.0,24.0,3948.0,119.0,200.0
Jaguar,XK8 coupe 2dr,Sports,Europe,Rear,69995.0,63756.0,4.2,8.0,294.0,21.0,26.0,3779.0,102.0,187.0
Jaguar,XK8 convertible 2dr,Sports,Europe,Rear,74995.0,68306.0,4.2,8.0,294.0,21.0,26.0,3980.0,102.0,187.0
Jaguar,XKR coupe 2dr,Sports,Europe,Rear,81995.0,74676.0,4.2,8.0,390.0,19.0,23.0,3865.0,102.0,187.0
Jeep,Grand Cherokee Laredo,SUV,USA,Front,27905.0,25686.0,4.0,6.0,195.0,19.0,21.0,3790.0,106.0,181.0
Jeep,Liberty Sport,SUV,USA,All,20130.0,18973.0,2.4,4.0,150.0,23.0,24.0,3826.0,104.0,174.0
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,25520.0,23275.0,4.0,6.0,190.0,19.0,19.0,3575.0,93.0,150.0
Kia,Optima LX 4dr,Sedan,Asia,Front,16040.0,14910.0,2.4,4.0,138.0,26.0,30.0,3281.0,106.0,186.0
Kia,Rio 4dr manual,Sedan,Asia,Front,10280.0,9875.0,1.6,4.0,104.0,29.0,33.0,2403.0,95.0,167.0
Kia,Rio 4dr auto,Sedan,Asia,Front,11155.0,10705.0,1.6,4.0,104.0,28.0,32.0,2458.0,95.0,167.0
Kia,Spectra 4dr,Sedan,Asia,Front,12360.0,11630.0,1.8,4.0,124.0,27.0,32.0,2661.0,101.0,178.0
Kia,Spectra GS 4dr hatch,Sedan,Asia,Front,13580.0,12830.0,1.8,4.0,124.0,27.0,32.0,2686.0,101.0,178.0
Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front,14630.0,13790.0,1.8,4.0,124.0,27.0,32.0,2697.0,101.0,178.0
Kia,Optima LX V6 4dr,Sedan,Asia,Front,18435.0,16850.0,2.7,6.0,170.0,23.0,27.0,3279.0,106.0,186.0
Kia,Rio Cinco,Wagon,Asia,Front,11905.0,11410.0,1.6,4.0,104.0,29.0,33.0,2447.0,95.0,167.0
Land Rover,Freelander SE,SUV,Europe,All,25995.0,23969.0,2.5,6.0,174.0,21.0,21.0,3577.0,101.0,175.0
Lexus,ES 330 4dr,Sedan,Asia,Front,32350.0,28755.0,3.3,6.0,225.0,23.0,29.0,3460.0,107.0,191.0
Lexus,IS 300 4dr manual,Sedan,Asia,Rear,31045.0,27404.0,3.0,6.0,215.0,21.0,25.0,3255.0,105.0,177.0
Lexus,IS 300 4dr auto,Sedan,Asia,Rear,32415.0,28611.0,3.0,6.0,215.0,21.0,24.0,3285.0,105.0,177.0
Lexus,GS 300 4dr,Sedan,Asia,Rear,41010.0,36196.0,3.0,6.0,220.0,21.0,25.0,3649.0,110.0,189.0
Lexus,GS 430 4dr,Sedan,Asia,Rear,48450.0,42232.0,4.3,8.0,300.0,21.0,23.0,3715.0,110.0,189.0
Lexus,LS 430 4dr,Sedan,Asia,Rear,55750.0,48583.0,4.3,8.0,290.0,21.0,25.0,3990.0,115.0,197.0
Lexus,SC 430 convertible 2dr,Sports,Asia,Rear,63200.0,55063.0,4.3,8.0,300.0,21.0,23.0,3840.0,103.0,178.0
Lexus,IS 300 SportCross,Wagon,Asia,Rear,32455.0,28647.0,3.0,6.0,215.0,21.0,24.0,3410.0,105.0,177.0
Lincoln,LS V6 Luxury 4dr,Sedan,USA,Rear,32495.0,29969.0,3.0,6.0,232.0,23.0,26.0,3681.0,115.0,194.0
Lincoln,LS V6 Premium 4dr,Sedan,USA,Rear,36895.0,33929.0,3.0,6.0,232.0,23.0,26.0,3681.0,115.0,194.0
Lincoln,LS V8 Sport 4dr,Sedan,USA,Rear,40095.0,36809.0,3.9,8.0,280.0,20.0,24.0,3768.0,115.0,194.0
Lincoln,LS V8 Ultimate 4dr,Sedan,USA,Rear,43495.0,39869.0,3.9,8.0,280.0,20.0,24.0,3768.0,115.0,194.0
MINI,Cooper,Sedan,Europe,Front,16999.0,15437.0,1.6,4.0,115.0,31.0,37.0,2524.0,97.0,143.0
MINI,Cooper S,Sedan,Europe,Front,19999.0,18137.0,1.6,4.0,163.0,28.0,34.0,2678.0,97.0,144.0
Mazda,Tribute DX 2.0,SUV,Asia,All,21087.0,19742.0,2.0,4.0,130.0,25.0,25.0,3091.0,103.0,173.0
Mazda,Mazda3 i 4dr,Sedan,Asia,Front,15500.0,14525.0,2.0,4.0,148.0,29.0,34.0,2696.0,104.0,178.0
Mazda,Mazda3 s 4dr,Sedan,Asia,Front,17200.0,15922.0,2.3,4.0,160.0,28.0,31.0,2762.0,104.0,179.0
Mazda,Mazda6 i 4dr,Sedan,Asia,Front,19270.0,17817.0,2.3,4.0,160.0,27.0,32.0,3042.0,105.0,187.0
Mazda,MPV ES,Sedan,Asia,Front,28750.0,26600.0,3.0,6.0,200.0,21.0,25.0,3812.0,112.0,188.0
Mazda,MX-5 Miata convertible 2dr,Sports,Asia,Rear,22388.0,20701.0,1.8,4.0,142.0,26.0,28.0,2387.0,89.0,156.0
Mazda,MX-5 Miata LS convertible 2dr,Sports,Asia,Rear,25193.0,23285.0,1.8,4.0,142.0,26.0,28.0,2387.0,89.0,156.0
Mazda,RX-8 4dr automatic,Sports,Asia,Rear,25700.0,23794.0,1.3,5.807511737089202,197.0,21.0,25.0,3053.0,106.0,174.0
Mazda,RX-8 4dr manual,Sports,Asia,Rear,27200.0,25179.0,1.3,5.807511737089202,238.0,21.0,24.0,3029.0,106.0,174.0
Mazda,B2300 SX Regular Cab,Truck,Asia,Rear,14840.0,14070.0,2.3,4.0,143.0,27.0,29.0,2960.0,112.0,188.0
Mazda,B4000 SE Cab Plus,Truck,Asia,All,22350.0,20482.0,4.0,6.0,207.0,18.0,19.0,3571.0,126.0,203.0
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,Rear,26060.0,24249.0,1.8,4.0,189.0,25.0,30.0,3250.0,107.0,178.0
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,Rear,28370.0,26435.0,3.2,6.0,215.0,22.0,26.0,3430.0,107.0,178.0
Mercedes-Benz,C240 4dr,Sedan,Europe,Rear,32280.0,30071.0,2.6,6.0,168.0,23.0,25.0,3360.0,107.0,178.0
Mercedes-Benz,C240 4dr,Sedan,Europe,All,33480.0,31187.0,2.6,6.0,168.0,22.0,25.0,3360.0,107.0,178.0
Mercedes-Benz,C320 Sport 4dr,Sedan,Europe,Rear,35920.0,33456.0,3.2,6.0,215.0,22.0,26.0,3430.0,107.0,178.0
Mercedes-Benz,C320 4dr,Sedan,Europe,Rear,37630.0,35046.0,3.2,6.0,215.0,23.0,26.0,3450.0,107.0,178.0
